Date,United States: Nominal Effecive Exchange Rate,"United States: Stock Markets, US$","United States: Industrial Production, constant US$","United States: CPI Price,not seas.adj",United States: Real Effective Exchange Rate,Japan: Nominal Effecive Exchange Rate,"Japan: Stock Markets, US$","Japan: Industrial Production, constant US$","Japan: CPI Price,not seas.adj",Japan: Real Effective Exchange Rate,India: Nominal Effecive Exchange Rate,"India: Stock Markets, US$","India: Industrial Production, constant US$","India: CPI Price,not seas.adj",India: Real Effective Exchange Rate,United Kingdom: Nominal Effecive Exchange Rate,"United Kingdom: Stock Markets, US$","United Kingdom: Industrial Production, constant US$","United Kingdom: CPI Price,not seas.adj",United Kingdom: Real Effective Exchange Rate,Germany: Nominal Effecive Exchange Rate,"Germany: Stock Markets, US$","Germany: Industrial Production, constant US$","Germany: CPI Price,not seas.adj",Germany: Real Effective Exchange Rate,China: Nominal Effecive Exchange Rate,"China: Stock Markets, US$","China: Industrial Production, constant US$","China: CPI Price,not seas.adj",China: Real Effective Exchange Rate,Brazil: Nominal Effecive Exchange Rate,"Brazil: Stock Markets, US$","Brazil: Industrial Production, constant US$","Brazil: CPI Price,not seas.adj",Brazil: Real Effective Exchange Rate,World: Nominal Effecive Exchange Rate,"World: Stock Markets, US$","World: Industrial Production, constant US$","World: CPI Price,not seas.adj",World: Real Effective Exchange Rate
2017-02,124.12344417126,195.04999837399,,,116.88921425,83.91318587652,145.1104332019,,,76.21897575,78.50526025,112.95597426537,,,106.6040675,96.7248159283,109.98532874799,,,97.086938,,149.40186732225,,109.89898989899,,114.93795650289,100.57061648492,,,120.7652495,72.91370427193,55.5553157251,,,83.50670825,,146.44664506403,,,
2017-01,126.27135140485,190.12229216208,,112.06902121493,118.57175818182,83.5398175659,142.89984940606,129899992079.89,103.51966873706,75.75779090909,77.91056954545,106.18213671894,,158.32320777643,106.43516590909,96.37285681359,107.97830152561,,115.40283280958,96.68159272727,,147.63321600592,,109.19191919192,,115.80597823913,97.85631785481,,121.01212686567,121.8709125,71.73593927543,51.55849870278,,157.68102308386,82.00906863636,101.16937593729,143.0118045993,,,110.48654829869
2016-12,126.74912279271,188.25308871514,278651187386.541,111.41969753608,118.55243522727,83.06646216311,140.11960403401,140074562274.989,103.6231884058,75.50649954545,78.54052727273,103.39840132819,46575961690.4836,158.4447144593,107.6409175,98.38720229955,105.47500393554,38562878147.1602,116.02222525846,98.53863636364,,141.16106986329,96640087726.8427,109.89898989899,,116.4427320006,98.0472182165,373436993629.941,119.82276119403,121.43667022727,69.00209385392,45.72627290021,36255242074.082,157.08402681385,78.34769409091,101.03840222765,139.71877507924,,,109.85473677552
2016-11,122.85348606737,178.55893976952,276938572686.787,111.38323941907,116.63164454546,88.54200456555,138.75217376861,140771450644.516,103.93374741201,80.32549295455,77.51207318182,105.18289991176,44596166043.6946,159.41676792224,107.23740340909,95.33683326984,102.83455061115,40750579888.2011,115.47684109851,96.39090909091,97.49682884156,136.08664627167,109050901636.994,109.09090909091,94.35644570042,114.33359651547,100.32068857925,377362007076.502,119.57789179105,120.0155625,67.31775177045,48.02943131766,40622777712.5401,156.6143239634,77.42323340909,100.65159381797,136.48461285799,,128.22304550731,108.82979852258
2016-10,120.13130449937,173.66190530211,281010676201.899,111.55676159622,113.50326,90.61693219423,140.34230365177,136311365079.542,103.93374741201,82.58697809524,77.06904333333,111.65285434447,45205333935.0143,159.65978128797,106.86682642857,92.89377986114,105.0767440667,37969603098.7424,115.23090586146,93.37619047619,97.80936251784,139.76064597755,100107815142.915,108.9898989899,94.8121141011,113.71933834865,98.30697512838,380320679826.493,119.46128731343,119.61533714286,69.62413543701,51.01355617202,42360399418.1632,156.33276539198,79.80583642857,99.893104199,137.26391854163,1700875459040.26,128.11458337504,107.7294633468
2016-09,118.64026992314,174.45317957295,283645281682.324,111.41785155547,112.48543272727,91.30899638649,140.54010034898,143001493427.004,103.31262939959,83.18723181818,76.27589227273,113.61725806401,45560681871.6174,159.05224787363,105.62436340909,97.4914457627,109.2837277471,39156153195.5781,115.15462039441,98.50227272727,97.75553599532,140.81144599896,106860758005.791,108.78787878788,94.64051435583,113.7711234711,97.87462555041,398024995798.215,119.57789179105,119.77338340909,67.45891490961,46.58719516995,42266473920.562,155.92720263665,77.59069409091,99.48261254308,138.26943605746,1745159964336.12,127.77468073708,106.94931646041
2016-08,117.82253892426,176.6285154186,287876209886.659,111.15064586247,111.77806652174,91.73722667421,139.89878056178,129063726036.458,103.20910973085,83.72213913043,75.8598826087,111.3486195184,44494638061.808,159.29526123937,105.59313521739,97.22298368593,108.73870865942,36671813930.3283,114.8813590199,98.17391304348,97.68472371775,141.02104186836,97005111665.3766,108.68686868687,94.4949357045,113.92539200462,98.66377046049,380356470222.662,118.75,119.50075521739,68.17110203373,46.86025711279,43581430886.9794,155.80254060561,78.59495869565,99.48036300684,138.75620602095,1638379423999.34,127.4897621082,106.45610880916
2016-07,119.08281067917,175.15777307126,281175692362.059,111.04865543388,112.75183214286,90.01875420751,132.77714727532,136450742753.447,103.10559006211,82.09414547619,76.22224809524,109.76265786766,44646930034.6379,159.29526123937,106.21702642857,98.55191384224,105.81203121949,37079690526.1156,114.50904039714,99.31428571429,97.43708147089,131.65016752139,96183807803.6754,108.68686868687,94.25372736252,114.7599920383,97.14136432298,378053954735.774,118.63339552239,120.46473119048,67.29492950727,43.516201134,42031660176.5589,155.12002420877,77.35469142857,98.76512670261,134.88464659586,1664975253903.3,127.34588320951,106.47310453085
2016-06,118.35203289642,169.55848360834,286496319451.118,111.22863854315,112.03665909091,88.31446693711,130.27687457294,138820163209.84,103.41614906832,81.02136,75.62867545455,105.62829496001,46499815704.0686,158.08019441069,104.56707181818,105.50572652001,107.48612747991,39378631338.7348,114.56938561734,106.1,97.41726877123,132.48434925357,107864573836.759,108.38383838384,94.29835524727,116.33389572346,94.55179900942,427671373958.409,118.3885261194,121.72490227273,63.75694986344,38.09911738903,41045442451.7457,154.3174507108,73.13313636364,98.52944834662,132.21395741719,1785820112598.39,127.22879354535,106.01451013721
2016-05,118.0703192651,168.96115458554,276881772670.811,110.86451886823,111.61308136364,85.1308235111,129.84056897544,123767374428.05,103.51966873706,78.31906886364,75.93419409091,102.12230634898,46195231758.4088,156.25759416768,103.91233159091,107.43739521894,109.9941871675,38377479694.5297,114.33939062714,108.21363636364,97.7323760393,135.1146251113,95545015911.2411,108.28282828283,94.65559030962,118.10872412752,94.1008327797,402045450301.227,118.50513059702,123.80658840909,61.52060056585,37.39594711866,40481889466.1383,153.77933175889,70.50019613636,98.5179641742,131.88239827179,1707310811860.48,126.8916186294,105.54128489483
2016-04,117.13088937324,170.41318684787,276732369785.184,110.4177915611,110.21171333333,83.75647315826,128.79177617949,128227459993.025,103.41614906832,77.08764619048,75.91312238095,101.79987217278,44545402052.7513,154.6780072904,102.89905095238,105.41375372225,110.05356036601,38711196909.2647,114.12305870565,105.9380952381,97.65749007528,135.75094630759,103028006651.186,107.9797979798,94.55924299931,118.55238885708,99.74465508809,398013065666.158,119.1114738806,124.64246666667,60.90929178439,37.8102563393,38932118755.7176,152.58928630165,69.47352666667,98.32618323409,132.94402263855,1702083761265.57,126.52077598528,104.79463132793
2016-03,119.5086612256,165.23497268893,277362553848.705,109.8967635345,111.70213565217,82.40665239483,127.8491131112,149412866426.655,103.20910973085,75.48544130435,76.38665826087,98.56238848124,50434025002.1748,153.09842041312,102.56448434783,106.70903534966,107.72212031096,41380934627.145,114.04335747142,107.19130434783,97.27181204971,131.16973856268,105126894297.755,108.38383838384,94.38745462575,120.18088488886,96.10405084641,448966659679.112,119.34468283582,127.00329130435,59.61297372054,34.52171634314,39260857997.322,151.66402431403,68.0046073913,98.76839828195,129.32194878533,1815230500617.45,126.16469394001,104.70763096615
2016-02,121.79097606425,155.66356872288,278875695506.564,109.42557698431,114.10177071429,81.77897037475,121.90668463971,131572524166.756,103.10559006211,75.34463309524,75.72420738095,92.38163996172,46829781645.2001,153.09842041312,101.91996642857,107.75803847189,103.24811189638,37969603098.7424,113.62549528624,108.60714285714,97.84004732584,123.29478318947,99834047189.0141,107.57575757576,94.64126864877,121.20577206151,92.1227071543,402797048620.781,119.82276119403,128.76574380952,56.04189023369,26.76772466402,35597763590.8733,151.01472919723,64.02793690476,99.07706935901,122.22258191527,1691990191160.83,125.7528484892,104.82899460084
2016-01,123.23248810844,155.71469550142,279280294672.507,109.33558542968,115.965545,80.09278389418,124.95410039282,125997417210.538,103.00207039338,73.87631428571,77.52855428571,97.99667247746,47261275568.2182,153.46294046173,105.17998,110.34480336198,105.14808301061,36375176406.1194,113.34540237737,111.08095238095,97.05659393377,127.37832987641,90252168802.4999,107.17171717172,93.99431500349,121.91608966302,97.63131383262,402797048620.781,117.93376865672,128.13721952381,54.99947604614,25.12951552834,35832577334.8764,149.66778719961,62.66312119048,99.39234591902,124.22484942898,1671214913941.58,125.27263931927,104.94357414985
2015-12,121.16422310749,167.5337680715,277226879876.891,109.15514082525,113.43511673913,76.7216723614,134.76777702732,136032609731.731,103.31262939959,70.95993913043,77.50864086957,102.55767039673,46753635658.7851,153.21992709599,104.79426021739,114.42652593847,113.97226650624,37747124955.5857,114.24147196794,114.80434782609,96.33037638575,138.87768064332,95453759926.6076,108.08080808081,93.43352986229,123.51873259884,118.18148466004,352296799625.971,117.35074626866,128.5867926087,56.26084438219,29.99233441868,36255242074.082,147.79094933919,63.0051126087,99.21489247116,132.62273867125,1658950941564.26,125.17837349414,104.14578045941
2015-11,120.34076871794,169.26148686927,279256605566.316,109.52941339351,112.77856880952,75.99871406354,136.34238132066,134778210666.582,103.41614906832,70.12710833333,77.68076309524,104.64100318721,42210258469.3592,153.82746051033,105.64742214286,116.96841997896,117.54681698302,39081993814.5259,114.14696907592,117.04047619048,95.31493861151,140.83886033415,105400662251.656,108.18181818182,92.59174208138,125.08148949448,120.28079474165,355327053168.301,116.7677238806,129.12011761905,56.72320836988,32.33474015278,41139367949.347,146.38578787062,63.33166119048,99.32799500394,135.41265301868,1685030185529.83,124.39305926432,103.94888865147
2015-10,118.16546637594,164.09030874496,282850619847.419,109.76108395981,110.77745727273,76.75238404501,130.77600025513,138262652514.218,103.72670807453,70.98241386364,77.74159454545,110.51190437988,46042939785.5789,153.21992709599,105.25564886364,114.21170751366,119.0232928774,39267392267.1564,114.19251263834,114.825,96.98438160706,136.96211218048,105400662251.656,108.08080808081,94.30872850872,123.41988147975,113.32250959147,358452747767.082,116.7677238806,127.54974977273,54.19301906574,31.5972714092,45647791834.2069,144.92207800751,60.3957275,98.72447556317,133.56011953906,1715541041167.36,123.52411661782,102.90380294968
2015-09,119.04608152332,156.04605941279,285344167468.261,109.81046394108,111.72873954546,77.13864923775,127.67302890918,140771450644.516,103.83022774327,71.60284477273,76.85043454545,103.3466093773,45230715930.4859,152.36938031592,103.58492522727,114.74152580199,115.38008521217,39119073505.052,114.0410802933,115.29545454546,97.22919981461,134.08261692131,105309406267.022,108.08080808081,94.48317209066,123.88835797653,105.62651016355,375143002514.008,117.11753731343,128.75054477273,54.02783857931,30.9069987618,44285872118.9888,143.74354487504,59.93588295455,98.80811324526,128.88096924281,1716484359576.27,122.57576487708,102.67286307442
2015-08,118.27368596884,162.93773279417,290834387022.083,109.98167864247,111.26689714286,74.73081997537,138.59273604407,123906752101.956,103.72670807453,69.36418238095,77.76942619048,112.00803865681,44824604002.9395,151.64034021871,104.45277857143,116.97613795089,123.4818400224,34817829404.0226,114.15152343216,117.4380952381,96.59770639464,144.48881218158,89339608956.1653,108.28282828283,93.93117799723,124.98003607885,122.09704297101,357808520636.036,117.00093283582,128.86331333333,59.94384829958,35.10297364855,45835642829.4094,142.97156126859,66.04769333333,98.95734343831,137.64372033539,1613319961012.49,121.79755733057,102.39727694316
2015-07,116.52656142367,169.94190628867,283807336704.213,110.13766400384,109.62541891304,73.60968430528,141.09335963955,143140871100.909,103.6231884058,68.11764695652,78.59270521739,117.09288320525,45814501826.334,150.1822600243,104.72554978261,116.97546849516,126.16606002321,38117921860.8468,113.86801475611,116.73043478261,95.17277898964,148.27500181946,104305590436.054,108.28282828283,92.52379192475,127.55612745342,133.42701032977,356651297826.563,116.41791044776,129.18069782609,64.83623429152,41.50657469783,44849425104.5963,142.65776818783,71.3571373913,99.10431555548,141.04365924407,1691596003514.17,120.97747973641,101.97537380152
2015-06,114.49924004874,171.2044342465,287718461974.987,110.13028008141,107.78426045455,72.56714605658,140.86174744654,141050205992.327,103.72670807453,67.3784,77.55533090909,113.09836367455,45509917880.6741,149.4532199271,102.85499181818,115.19407319501,128.87264234671,38933675052.4214,114.04449606048,115.19545454546,95.77314054106,150.78161563595,104305590436.054,108.08080808081,93.2077193458,126.16909427207,166.36469923215,402701607564.33,116.06809701493,127.22143181818,66.2660676143,44.61928753651,43440542640.5776,141.77888442284,72.77753727273,98.74305883663,143.14172237682,1744916786203.9,120.33040829204,101.28030120191
2015-05,113.64026758503,173.09049548118,280559506406.744,109.7458546198,106.94827,74.12129433172,140.94847531646,124464262797.577,103.93374741201,68.89514595238,77.28747452381,114.40224974228,45611445862.5608,147.75212636695,101.42713809524,114.7322491628,131.04067448622,37153849907.1678,113.98984378558,114.16904761905,95.08855637796,154.69618496915,91894776525.9024,108.18181818182,92.68421996299,125.04878585537,154.97979702625,379294688469.641,116.06809701493,126.368025,67.09215666491,47.30106004699,43722319133.3813,140.66745169758,73.30513428571,98.77420117778,145.44977860455,1662518144025.6,119.68424422307,101.09044836658
